Start,End,Sleep quality,Time in bed,Wake up,Sleep Notes,Heart rate,Activity (steps)
2016-01-06 00:06:00,2016-01-06 06:15:20,71%,6:09,,,,1759
2016-01-07 00:07:04,2016-01-07 06:14:44,70%,6:07,,,,1528
2016-01-07 21:19:23,2016-01-08 06:13:18,100%,8:53,,,,1682
2016-01-08 23:28:09,2016-01-09 07:14:42,88%,7:46,,,,2133
2016-01-10 00:02:40,2016-01-10 08:08:17,89%,8:05,,,,4194
2016-01-10 20:20:21,2016-01-11 06:14:56,97%,9:54,,,,972
2016-01-11 22:09:32,2016-01-12 06:13:30,91%,8:03,,,,994
2016-01-13 02:08:54,2016-01-13 06:15:28,49%,4:06,,,,2089
2016-01-13 23:01:41,2016-01-14 06:11:54,76%,7:10,:|,,,1494
2016-01-14 22:59:07,2016-01-15 06:15:20,74%,7:16,:),,,1509
2016-01-15 23:17:35,2016-01-16 07:03:39,81%,7:46,:),,,617
2016-01-16 23:57:38,2016-01-17 07:11:00,80%,7:13,:),,,7452
2016-01-18 00:19:44,2016-01-18 06:09:07,73%,5:49,:(,,,1877
2016-01-19 00:34:22,2016-01-19 06:15:21,63%,5:40,:),,,2636
2016-01-19 22:59:15,2016-01-20 06:14:41,80%,7:15,:|,,,1551
2016-01-20 23:23:29,2016-01-21 06:14:53,72%,6:51,:|,,,1742
2016-01-21 22:54:12,2016-01-22 06:11:51,59%,7:17,:(,,,2588
2016-01-22 22:59:43,2016-01-23 07:14:53,79%,8:15,:|,,,982
2016-01-24 01:18:54,2016-01-24 07:17:05,70%,5:58,:|,,,2966
2016-01-24 23:50:25,2016-01-25 06:15:20,71%,6:24,:|,,,2697
2016-01-25 23:29:38,2016-01-26 06:13:22,75%,6:43,:|,,,1408
2016-01-27 01:13:16,2016-01-27 06:15:46,59%,5:02,:|,,,2505
2016-01-28 00:33:54,2016-01-28 06:15:34,40%,5:41,:|,,,1449
2016-01-28 22:41:44,2016-01-29 06:15:27,75%,7:33,:),,,1077
2016-01-29 23:32:12,2016-01-30 06:10:12,66%,6:38,:),,,1529
2016-01-31 00:30:17,2016-01-31 07:11:19,54%,6:41,:|,,,3134
2016-01-31 22:54:53,2016-02-01 06:14:46,71%,7:19,:|,,,4564
2016-02-01 23:11:14,2016-02-02 06:14:42,76%,7:03,:|,,,1319
2016-02-03 00:33:36,2016-02-03 06:13:10,65%,5:39,:|,,,2734
2016-02-03 23:23:35,2016-02-04 06:15:21,63%,6:51,:|,,,1067
2016-02-04 23:44:53,2016-02-05 06:14:15,75%,6:29,:|,,,2337
2016-02-05 23:38:57,2016-02-06 07:14:10,77%,7:35,:|,,,895
2016-02-06 23:40:21,2016-02-07 07:13:25,77%,7:33,:),,,2887
2016-02-07 23:23:41,2016-02-08 06:13:37,67%,6:49,:(,,,1830
2016-02-09 00:05:40,2016-02-09 06:15:18,69%,6:09,:|,,,2088
2016-02-10 05:32:15,2016-02-10 06:14:41,9%,0:42,:(,,,2392
2016-02-10 22:37:04,2016-02-11 06:15:01,82%,7:37,:|,,,1447
2016-02-11 23:44:14,2016-02-12 06:09:28,73%,6:25,:),,,1085
2016-02-12 22:42:35,2016-02-13 08:04:13,76%,9:21,:),,,1851
2016-02-13 22:59:48,2016-02-14 08:02:19,88%,9:02,:),,,1168
2016-02-14 22:13:18,2016-02-15 06:14:16,94%,8:00,:),,,1656
2016-02-15 23:41:35,2016-02-16 06:13:28,80%,6:31,:|,,,905
2016-02-17 00:46:57,2016-02-17 06:15:19,61%,5:28,:|,,,2235
2016-02-17 23:12:06,2016-02-18 06:15:17,76%,7:03,:|,,,926
2016-02-19 00:06:10,2016-02-19 06:14:31,51%,6:08,:|,,,2191
2016-02-19 19:53:48,2016-02-20 07:49:27,77%,11:55,:|,,,736
2016-02-21 01:34:22,2016-02-21 07:56:27,47%,6:22,:|,,,1563
2016-02-21 20:42:28,2016-02-22 06:14:26,89%,9:31,:|,,,12735
2016-02-22 23:24:20,2016-02-23 06:14:41,72%,6:50,:|,,,852
2016-02-23 23:43:39,2016-02-24 06:14:27,59%,6:30,:|,,,1350
2016-02-25 00:59:02,2016-02-25 06:14:13,46%,5:15,:|,,,1060
2016-02-26 01:55:32,2016-02-26 06:13:45,44%,4:18,:(,,,1043
2016-02-26 22:41:53,2016-02-27 07:52:18,91%,9:10,:),,,903
2016-02-28 00:00:10,2016-02-28 08:14:07,83%,8:13,:),,,3360
2016-02-28 23:06:58,2016-02-29 06:14:13,71%,7:07,:|,,,1011
2016-03-01 00:13:53,2016-03-01 06:14:27,59%,6:00,:|,,,1735
2016-03-03 01:31:39,2016-03-03 06:14:26,50%,4:42,:(,,,6521
2016-03-04 01:14:39,2016-03-04 06:14:42,62%,5:00,:|,,,961
2016-03-04 23:43:47,2016-03-05 08:05:30,86%,8:21,:|,,,3148
2016-03-05 23:07:48,2016-03-06 08:04:14,93%,8:56,:|,,,7765
2016-03-06 22:42:10,2016-03-07 06:13:35,70%,7:31,:|,,,11952
2016-03-07 23:33:19,2016-03-08 06:13:35,76%,6:40,:|,,,2647
2016-03-09 03:18:21,2016-03-09 06:13:59,38%,2:55,:|,,,1764
2016-03-10 00:05:43,2016-03-10 06:14:18,69%,6:08,:|,,,13269
2016-03-11 01:33:23,2016-03-11 06:12:16,55%,4:38,:),,,1477
2016-03-12 01:18:29,2016-03-12 07:15:29,63%,5:56,:|,,,1499
2016-03-13 00:29:21,2016-03-13 08:11:51,70%,6:42,:|,,,15219
2016-03-14 00:39:57,2016-03-14 06:15:19,60%,5:35,:|,,,2993
2016-03-14 22:53:16,2016-03-15 05:45:33,71%,6:52,:),,,7513
2016-03-15 23:02:17,2016-03-16 06:14:39,75%,7:12,:|,,,8422
2016-03-16 23:57:55,2016-03-17 06:05:34,69%,6:07,:|,,,7575
2016-03-18 01:16:00,2016-03-18 06:13:50,50%,4:57,:|,,,9679
2016-03-18 23:26:21,2016-03-19 08:04:48,91%,8:38,:|,,,8669
2016-03-20 00:13:33,2016-03-20 08:13:27,91%,7:59,:),,,4358
2016-03-20 22:46:52,2016-03-21 05:26:14,74%,6:39,:),,,4597
2016-03-22 00:44:27,2016-03-22 06:15:28,58%,5:31,:|,,,5811
2016-03-22 23:17:12,2016-03-23 06:12:59,80%,6:55,:|,,,3217
2016-03-24 00:28:40,2016-03-24 06:14:27,56%,5:45,:|,,,3161
2016-03-24 22:58:10,2016-03-25 06:14:02,83%,7:15,:|,,,5175
2016-03-25 23:34:54,2016-03-26 08:11:00,94%,8:36,:),,,10633
2016-03-27 01:33:55,2016-03-27 08:13:21,76%,6:39,:|,,,3415
2016-03-27 22:58:53,2016-03-28 06:14:27,81%,7:15,:|,,,1269
2016-03-28 23:30:16,2016-03-29 06:14:33,77%,6:44,:|,,,1099
2016-03-29 21:37:29,2016-03-30 06:14:06,91%,8:36,:),,,1060
2016-03-30 21:53:34,2016-03-31 06:15:10,87%,8:21,:|,,,9649
2016-03-31 22:51:24,2016-04-01 06:15:05,71%,7:23,:|,,,1899
2016-04-01 23:27:20,2016-04-02 08:12:10,85%,8:44,:),,,2423
2016-04-03 02:23:29,2016-04-03 08:13:26,52%,5:49,:|,,,770
2016-04-03 23:23:04,2016-04-04 06:12:46,73%,6:49,:|,,,687
2016-04-05 00:17:15,2016-04-05 06:14:15,41%,5:57,:|,,,1954
2016-04-06 00:28:21,2016-04-06 06:14:24,64%,5:46,:(,,,971
2016-04-06 21:01:31,2016-04-07 06:14:36,96%,9:13,:|,,,1087
2016-04-07 22:17:48,2016-04-08 06:14:59,85%,7:57,:|,,,1221
2016-04-08 23:38:09,2016-04-09 08:12:36,87%,8:34,:|,,,1471
2016-04-10 01:12:24,2016-04-10 08:12:20,66%,6:59,:),,,7603
2016-04-10 23:44:16,2016-04-11 06:14:07,74%,6:29,:|,,,1094
2016-04-11 23:07:24,2016-04-12 06:14:20,66%,7:06,:|,,,2863
2016-04-12 23:42:40,2016-04-13 06:15:15,65%,6:32,:|,,,2408
2016-04-13 22:59:50,2016-04-14 06:12:24,81%,7:12,:|,,,2230
2016-04-15 00:03:28,2016-04-15 06:13:40,64%,6:10,:|,,,16819
2016-04-15 22:56:53,2016-04-16 07:08:19,61%,8:11,:|,,,15627
2016-04-16 23:34:11,2016-04-17 07:10:06,90%,7:35,:|,,,15422
2016-04-17 22:38:22,2016-04-18 06:14:35,87%,7:36,:|,,,15282
2016-04-18 23:10:01,2016-04-19 06:14:17,75%,7:04,:|,,,4328
2016-04-19 23:31:19,2016-04-20 06:14:45,71%,6:43,:|,,,16953
2016-04-20 22:39:53,2016-04-21 06:13:58,82%,7:34,:|,,,13533
2016-04-21 23:50:47,2016-04-22 06:15:02,75%,6:24,:|,,,1161
2016-04-22 23:29:34,2016-04-23 06:42:02,71%,7:12,:|,,,2735
2016-04-23 23:32:05,2016-04-24 06:30:24,76%,6:58,:|,,,16077
2016-04-25 00:28:05,2016-04-25 06:14:42,66%,5:46,:|,,,8623
2016-04-25 23:17:44,2016-04-26 06:13:52,74%,6:56,:|,,,2875
2016-04-27 02:18:31,2016-04-27 06:13:28,45%,3:54,:|,,,8132
2016-04-27 22:27:43,2016-04-28 06:13:39,93%,7:45,:|,,,1994
2016-04-28 23:56:15,2016-04-29 06:14:24,65%,6:18,:|,,,1164
2016-04-30 04:18:01,2016-04-30 08:06:31,41%,3:48,:(,,,2572
2016-05-01 22:47:13,2016-05-02 06:14:17,82%,7:27,:|,,,277
2016-05-02 23:31:05,2016-05-03 06:14:24,75%,6:43,:|,,,999
2016-05-03 23:08:01,2016-05-04 06:14:10,71%,7:06,:|,,,11105
2016-05-04 22:33:51,2016-05-05 06:15:13,90%,7:41,:|,,,4563
2016-05-05 23:17:48,2016-05-06 06:14:20,77%,6:56,:|,,,2665
2016-05-07 00:18:09,2016-05-07 06:40:32,67%,6:22,:|,,,5718
2016-05-08 22:23:31,2016-05-09 06:14:54,81%,7:51,:),,,1370
2016-05-09 21:44:42,2016-05-10 06:15:24,79%,8:30,:|,,,7992
2016-05-10 22:55:50,2016-05-11 06:14:42,66%,7:18,:|,,,6458
2016-05-11 23:51:43,2016-05-12 06:13:27,51%,6:21,:|,,,13730
2016-05-12 22:02:17,2016-05-13 06:14:23,92%,8:12,:|,,,3882
2016-05-14 00:50:56,2016-05-14 06:42:25,54%,5:51,:|,,,2958
2016-05-15 23:11:32,2016-05-16 06:14:55,72%,7:03,:|,,,913
2016-05-16 22:23:18,2016-05-17 06:14:38,86%,7:51,:|,,,7688
2016-05-17 22:51:49,2016-05-18 06:14:56,75%,7:23,:|,,,4410
2016-05-19 00:06:58,2016-05-19 06:14:25,60%,6:07,:|,,,16534
2016-05-22 00:01:47,2016-05-22 06:44:33,64%,6:42,:|,,,258
2016-05-22 23:36:09,2016-05-23 06:14:48,71%,6:38,:(,,,9076
2016-05-23 22:16:35,2016-05-24 06:14:31,69%,7:57,:|,,,5112
2016-05-24 22:26:49,2016-05-25 06:14:21,58%,7:47,:|,,,9415
2016-05-25 23:44:30,2016-05-26 06:14:35,64%,6:30,:|,,,16369
2016-05-26 22:13:44,2016-05-27 06:14:23,74%,8:00,:|,,,2103
2016-05-28 00:09:51,2016-05-28 06:14:49,60%,6:04,:|,,,1810
2016-05-28 23:19:59,2016-05-29 05:50:31,79%,6:30,:|,,,22656
2016-05-29 22:02:25,2016-05-30 06:11:05,98%,8:08,:|,,,16854
2016-05-30 22:43:47,2016-05-31 06:08:37,80%,7:24,:|,,,18501
2016-05-31 22:29:49,2016-06-01 06:13:29,95%,7:43,:|,,,9249
2016-06-01 23:38:07,2016-06-02 06:14:45,78%,6:36,:|,,,16487
2016-06-02 22:12:26,2016-06-03 06:14:07,94%,8:01,:|,,,1986
2016-06-03 23:56:56,2016-06-04 05:48:29,72%,5:51,:(,,,10417
2016-06-05 22:21:24,2016-06-06 06:10:58,88%,7:49,:|,,,2033
2016-06-06 23:18:02,2016-06-07 05:59:40,79%,6:41,:|,,,7224
2016-06-07 23:12:37,2016-06-08 06:14:33,59%,7:01,:|,,,20578
2016-06-08 23:20:13,2016-06-09 06:13:55,51%,6:53,:|,,,1987
2016-06-09 23:00:10,2016-06-10 06:14:55,70%,7:14,:|,,,3069
2016-06-11 00:06:42,2016-06-11 06:11:18,61%,6:04,:|,,,16801
2016-06-11 23:12:15,2016-06-12 05:43:13,66%,6:30,:|,,,26420
2016-06-12 20:48:12,2016-06-13 06:14:35,83%,9:26,:|,,,7133
2016-06-13 23:28:41,2016-06-14 06:14:10,66%,6:45,:|,,,3847
2016-06-14 22:52:10,2016-06-15 06:14:30,76%,7:22,:|,,,10958
2016-06-15 23:33:04,2016-06-16 06:15:28,69%,6:42,:|,,,7335
2016-06-16 22:11:52,2016-06-17 06:14:28,93%,8:02,:|,,,4212
2016-06-18 01:24:01,2016-06-18 06:23:24,64%,4:59,:|,,,3526
2016-06-19 23:22:55,2016-06-20 06:14:35,83%,6:51,:|,,,2213
2016-06-20 22:50:19,2016-06-21 06:14:31,73%,7:24,:|,,,5203
2016-06-21 22:13:09,2016-06-22 06:15:08,98%,8:01,:|,,,6466
2016-06-22 23:55:15,2016-06-23 06:14:40,79%,6:19,:|,,,16992
2016-06-24 00:13:08,2016-06-24 06:14:10,75%,6:01,:|,,,1146
2016-06-24 23:24:58,2016-06-25 06:29:03,77%,7:04,:|,,,8584
2016-06-26 02:02:37,2016-06-26 06:29:55,54%,4:27,:|,,,12390
2016-06-26 20:50:50,2016-06-27 06:15:16,82%,9:24,:|,,,11994
2016-06-27 23:23:48,2016-06-28 06:11:21,80%,6:47,:|,,,3841
2016-06-28 22:37:34,2016-06-29 06:14:21,86%,7:36,:|,,,10617
2016-06-29 23:16:24,2016-06-30 06:15:01,83%,6:58,:|,,,17201
2016-07-01 00:32:21,2016-07-01 06:14:48,70%,5:42,:|,,,17616
2016-07-01 23:21:12,2016-07-02 07:15:02,92%,7:53,:|,,,1873
2016-07-03 00:12:06,2016-07-03 06:44:23,79%,6:32,:|,,,16258
2016-07-03 22:07:20,2016-07-04 06:00:27,92%,7:53,:|,,,16835
2016-07-04 22:20:20,2016-07-05 06:15:12,93%,7:54,:|,,,15803
2016-07-05 21:15:20,2016-07-06 06:14:13,98%,8:58,:|,,,9770
2016-07-06 23:31:10,2016-07-07 05:44:42,72%,6:13,:|,,,6012
2016-07-07 22:34:08,2016-07-08 06:14:48,81%,7:40,:|,,,17843
2016-07-09 00:12:11,2016-07-09 06:30:27,75%,6:18,:|,,,15775
2016-07-09 23:58:02,2016-07-10 06:59:54,75%,7:01,:|,,,17616
2016-07-10 21:10:45,2016-07-11 06:14:32,96%,9:03,:|,,,16142
2016-07-11 23:30:31,2016-07-12 06:14:06,76%,6:43,:|,,,6642
2016-07-12 22:51:38,2016-07-13 06:15:09,88%,7:23,:|,,,10727
2016-07-13 22:26:33,2016-07-14 06:14:31,79%,7:47,:(,,,4396
2016-07-14 22:33:54,2016-07-15 06:15:15,93%,7:41,:|,,,1241
2016-07-15 23:26:54,2016-07-16 05:50:18,72%,6:23,:|,,,9341
2016-07-17 03:41:00,2016-07-17 05:49:52,27%,2:08,:|,,,19100
2016-07-17 22:45:00,2016-07-18 06:14:09,87%,7:29,:|,,,1528
2016-07-18 22:52:19,2016-07-19 06:14:30,80%,7:22,:|,,,1893
2016-07-20 00:41:36,2016-07-20 03:13:48,33%,2:32,:|,,,6226
2016-07-21 23:59:16,2016-07-22 07:48:59,90%,7:49,:),,,8924
2016-07-23 02:32:02,2016-07-23 07:15:30,47%,4:43,:|,,,11936
2016-07-24 19:04:55,2016-07-25 06:14:47,100%,11:09,:|,,,6216
2016-07-25 22:58:25,2016-07-26 06:14:18,78%,7:15,:|,,,4281
2016-07-27 03:43:49,2016-07-27 06:15:16,26%,2:31,:|,,,7741
2016-07-27 23:48:44,2016-07-28 06:39:02,80%,6:50,:|,,,10280
2016-07-29 01:08:42,2016-07-29 06:15:27,55%,5:06,:|,,,10192
2016-07-30 02:49:10,2016-07-30 07:00:35,44%,4:11,:|,,,9307
2016-07-31 03:13:45,2016-07-31 08:54:11,70%,5:40,:|,,,12491
2016-07-31 22:03:30,2016-08-01 06:14:20,88%,8:10,:|,,,433
2016-08-01 23:28:01,2016-08-02 06:15:09,76%,6:47,:|,,,11267
2016-08-02 23:12:35,2016-08-03 06:15:12,79%,7:02,:|,,,2387
2016-08-03 23:56:23,2016-08-04 06:15:16,69%,6:18,:|,,,15882
2016-08-04 23:25:01,2016-08-05 06:15:16,74%,6:50,:|,,,1379
2016-08-07 23:29:52,2016-08-08 06:13:39,76%,6:43,:|,,,3702
2016-08-08 22:58:59,2016-08-09 06:15:14,75%,7:16,:|,,,3219
2016-08-09 22:34:07,2016-08-10 06:14:28,58%,7:40,:|,,,5450
2016-08-10 23:35:04,2016-08-11 06:14:40,68%,6:39,:(,,,8643
2016-08-12 00:02:18,2016-08-12 06:14:12,66%,6:11,:|,,,2187
2016-08-12 23:51:07,2016-08-13 06:12:29,73%,6:21,:|,,,4095
2016-08-13 23:18:57,2016-08-14 08:14:22,89%,8:55,:),,,6679
2016-08-14 23:35:08,2016-08-15 06:14:26,75%,6:39,:),,,6938
2016-08-15 22:07:41,2016-08-16 06:14:53,96%,8:07,:|,,,1287
2016-08-16 22:56:03,2016-08-17 06:14:53,79%,7:18,:),,,4100
2016-08-17 22:50:52,2016-08-18 06:14:24,78%,7:23,:|,,,15162
2016-08-18 23:51:41,2016-08-19 06:14:58,77%,6:23,:|,,,5517
2016-08-21 23:01:10,2016-08-22 06:14:39,79%,7:13,:|,,,1541
2016-08-22 22:38:46,2016-08-23 06:14:11,82%,7:35,:|,,,4073
2016-08-23 22:37:33,2016-08-24 06:14:38,84%,7:37,:|,,,4931
2016-08-24 22:25:22,2016-08-25 06:14:19,74%,7:48,:|,,,9314
2016-08-26 22:59:41,2016-08-27 06:44:59,87%,7:45,:|,,,13131
2016-08-27 22:39:59,2016-08-28 07:00:12,81%,8:20,:|,,,16157
2016-08-28 23:12:28,2016-08-29 00:12:51,13%,1:00,:|,,,8381
2016-08-29 00:14:33,2016-08-29 06:14:31,48%,5:59,:|,,,0
2016-08-29 22:10:34,2016-08-30 06:15:10,90%,8:04,:|,,,10156
2016-08-30 23:51:18,2016-08-31 06:14:23,72%,6:23,:|,,,6378
2016-08-31 23:10:23,2016-09-01 06:14:37,77%,7:04,:|,,,850
2016-09-01 23:32:17,2016-09-02 06:15:12,73%,6:42,:|,,,6849
2016-09-02 22:33:45,2016-09-03 05:45:21,80%,7:11,:|,,,2514
2016-09-03 22:59:31,2016-09-04 07:57:57,96%,8:58,:),,,15584
2016-09-04 23:47:48,2016-09-05 06:14:36,65%,6:26,:|,,,9680
2016-09-05 22:28:44,2016-09-06 06:14:20,73%,7:45,:(,,,10248
2016-09-06 23:02:37,2016-09-07 06:14:35,73%,7:11,:|,,,7514
2016-09-07 22:49:20,2016-09-08 06:14:39,75%,7:25,:|,,,1198
2016-09-09 00:04:53,2016-09-09 06:14:26,66%,6:09,:|,,,1820
2016-09-09 23:59:15,2016-09-10 06:00:36,59%,6:01,:|,,,11054
2016-09-10 23:04:05,2016-09-11 06:28:16,80%,7:24,:|,,,11517
2016-09-11 22:56:50,2016-09-12 06:14:23,83%,7:17,:|,,,8895
2016-09-12 22:15:55,2016-09-13 05:40:37,68%,7:24,:|,,,1571
2016-09-13 22:42:36,2016-09-14 06:15:10,85%,7:32,:|,,,6113
2016-09-14 23:45:08,2016-09-15 06:14:08,75%,6:28,:|,,,3900
2016-09-15 22:34:39,2016-09-16 06:14:54,86%,7:40,:|,,,1182
2016-09-17 00:44:12,2016-09-17 07:14:22,62%,6:30,:|,,,8005
2016-09-17 23:51:17,2016-09-18 07:14:13,82%,7:22,:(,,,10803
2016-09-18 22:37:23,2016-09-19 06:15:01,86%,7:37,:|,,,97
2016-09-19 22:28:41,2016-09-20 06:14:49,92%,7:46,:|,,,2464
2016-09-20 21:31:49,2016-09-21 06:14:17,89%,8:42,:|,,,2508
2016-09-21 21:44:56,2016-09-22 06:14:25,99%,8:29,:|,,,10682
2016-09-22 22:54:12,2016-09-23 06:14:20,85%,7:20,:|,,,6968
2016-09-24 00:17:43,2016-09-24 06:10:08,71%,5:52,:|,,,2153
2016-09-24 22:54:40,2016-09-25 06:14:10,90%,7:19,:|,,,10175
2016-09-25 22:17:46,2016-09-26 06:14:18,78%,7:56,:|,,,16923
2016-09-26 22:51:36,2016-09-27 06:15:11,65%,7:23,:|,,,865
2016-09-27 22:44:07,2016-09-28 06:14:04,69%,7:29,:|,,,842
2016-09-28 22:06:42,2016-09-29 06:03:00,82%,7:56,:|,,,4899
2016-09-29 22:51:39,2016-09-30 06:12:45,79%,7:21,:|,,,2381
2016-09-30 22:39:14,2016-10-01 06:14:13,81%,7:34,:|,,,464
2016-10-01 21:50:43,2016-10-02 06:13:50,94%,8:23,:|,,,604
2016-10-02 23:13:44,2016-10-03 06:14:26,64%,7:00,:|,,,8762
2016-10-03 23:43:01,2016-10-04 06:14:34,65%,6:31,:|,,,4885
2016-10-04 22:10:19,2016-10-05 06:14:07,84%,8:03,:|,,,6519
2016-10-05 23:02:26,2016-10-06 06:14:42,71%,7:12,:(,,,9824
2016-10-07 23:13:36,2016-10-08 08:14:26,100%,9:00,:),,,6376
2016-10-08 22:40:59,2016-10-09 08:15:03,82%,9:34,:|,,,4648
2016-10-09 22:50:39,2016-10-10 06:14:09,71%,7:23,:|,,,1792
2016-10-10 22:45:28,2016-10-11 06:14:48,78%,7:29,:),,,1724
2016-10-11 21:36:20,2016-10-12 06:14:55,92%,8:38,:|,,,1219
2016-10-12 22:31:20,2016-10-13 06:14:23,71%,7:43,:),,,9142
2016-10-13 23:05:05,2016-10-14 06:15:18,74%,7:10,:|,,,2032
2016-10-15 01:45:30,2016-10-15 06:14:15,42%,4:28,:(,,,2786
2016-10-16 00:00:59,2016-10-16 08:15:32,85%,8:14,:|,,,17987
2016-10-16 21:42:56,2016-10-17 06:14:27,87%,8:31,:|,,,877
2016-10-18 00:45:11,2016-10-18 06:14:02,43%,5:28,:(,,,9914
2016-10-19 00:01:13,2016-10-19 06:14:04,58%,6:12,:|,,,3565
2016-10-19 23:57:20,2016-10-20 06:13:26,68%,6:16,:|,,,1201
2016-10-20 22:34:19,2016-10-21 06:13:30,72%,7:39,:|,,,1118
2016-10-22 00:36:51,2016-10-22 08:10:35,74%,7:33,:|,,,2261
2016-10-23 00:35:31,2016-10-23 08:12:35,76%,7:37,:|,,,1308
2016-10-23 20:01:58,2016-10-24 06:14:05,84%,10:12,:|,,,12442
2016-10-24 23:16:44,2016-10-25 06:14:34,63%,6:57,:|,,,2066
2016-10-25 22:26:13,2016-10-26 07:14:34,88%,8:48,:|,,,1150
2016-10-26 22:33:52,2016-10-27 06:14:20,73%,7:40,:|,,,7971
2016-10-27 22:56:04,2016-10-28 06:14:07,71%,7:18,:|,,,1758
2016-10-28 21:53:47,2016-10-29 07:11:04,86%,9:17,:|,,,5283
2016-10-30 01:49:41,2016-10-30 08:13:41,70%,6:24,:|,,,12627
2016-10-30 23:38:51,2016-10-31 01:06:52,0%,0:00,,,,2291
2016-10-31 22:00:23,2016-11-01 06:14:21,74%,8:13,:|,,,4777
2016-11-02 03:27:19,2016-11-02 06:14:16,34%,2:46,:|,,,1227
2016-11-03 01:01:21,2016-11-03 06:02:26,58%,5:01,:|,,,8753
2016-11-03 22:20:25,2016-11-04 05:05:30,58%,6:45,:|,,,1545
2016-11-05 00:57:01,2016-11-05 06:57:48,59%,6:00,:|,,,2870
2016-11-05 23:32:36,2016-11-06 07:38:27,81%,9:05,:),,,17988
2016-11-06 21:52:34,2016-11-07 05:04:46,73%,7:12,:|,,,127
2016-11-07 22:48:36,2016-11-08 06:14:34,70%,7:25,:|,,,2801
2016-11-09 01:13:27,2016-11-09 04:50:19,36%,3:36,:|,,,1739
2016-11-09 21:35:38,2016-11-10 06:11:19,81%,8:35,:(,,,2267
2016-11-10 21:16:44,2016-11-11 05:15:30,69%,7:58,:|,,,1461
2016-11-12 23:29:22,2016-11-13 07:15:19,70%,7:45,:|,,,3689
2016-11-13 22:00:23,2016-11-14 05:15:22,77%,7:14,:|,,,13809
2016-11-14 22:27:09,2016-11-15 05:49:47,71%,7:22,:|,,,2296
2016-11-15 21:34:07,2016-11-16 05:14:45,69%,7:40,:|,,,1689
